"RANK","NAME","TEAM","CUR","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Walter Clayton Jr.","Uta","","G","23","45","18","17.3","18.2","62","0.935","113","0.513","143","0.308","0.484","0.54","6.8","2","3.2","0.5","0.3","1.3","8.8","10","11.9","7.8","110.1","117.2"
"","Javonte Green","Det","*","G","32.6","64","18.1","14.7","10.9","102","0.814","141","0.546","187","0.353","0.537","0.583","6.8","2.8","0.7","1.3","0.3","0.6","9.6","7.5","10.3","5.2","119.5","105.8"
"","Jamal Shead","Tor","*","G","23.6","65","21.9","16.2","18.1","92","0.761","192","0.417","216","0.324","0.453","0.491","6.8","1.9","5.1","1","0.2","1.4","8.7","11.9","13.8","7.4","109","108.9"
"","Cole Anthony","Mil","*","G","25.8","35","15","25.8","21.9","26","0.615","159","0.478","72","0.306","0.472","0.483","6.7","2.5","3.5","0.6","0.3","1.9","9.2","10.1","12.6","10.4","96.2","106.3"
"","Kenrich Williams","Okc","*","G-F","31.3","45","15.8","17.3","12.8","43","0.674","126","0.556","105","0.41","0.582","0.596","6.6","3.2","1.4","0.5","0.1","0.8","9.9","8","11.3","7.8","119.7","104.6"
"","Jared McCain","Phi","","G","22.1","37","16.8","18.6","11.5","25","0.88","112","0.393","119","0.378","0.483","0.506","6.6","2","1.7","0.6","0.1","0.8","8.6","8.3","10.3","6.7","103.7","113.3"
"","Jamaree Bouyea","Pho","*","G","26.7","33","15.5","17.7","10.5","31","0.71","119","0.563","60","0.317","0.534","0.553","6.5","1.9","1.8","0.8","0.4","0.6","8.4","8.3","10.2","7.3","117.7","112.7"
"","Pat Spencer","Gol","*","G","29.7","49","17.2","18.5","16.6","42","0.762","182","0.456","109","0.367","0.491","0.514","6.5","2.3","3.4","0.7","0.1","1.2","8.8","9.9","12.2","8.6","111.7","112.5"
"","Andre Drummond","Phi","*","C","32.6","49","19.4","15.1","15.7","75","0.627","191","0.539","67","0.328","0.527","0.548","6.5","8.4","1","0.6","0.8","1","15","7.5","15.9","7.8","121.9","104.1"
"","Ochai Agbaji","Bro","*","G","25.9","11","15.1","16.2","13.1","2","0.5","24","0.625","29","0.448","0.651","0.65","6.4","2.2","1","0.4","0.5","0.7","8.5","7.4","9.5","6.4","118.4","119.3"
"","Rob Dillingham","Chi","*","G","21.2","13","19","21.2","19.4","14","0.786","66","0.409","29","0.207","0.379","0.41","6.4","3","3.1","1","0","1.8","9.4","9.5","12.5","8.2","87.2","107.8"
"","Ja'Kobe Walter","Tor","*","G","21.5","55","18.9","14.1","9.2","58","0.828","103","0.534","184","0.348","0.526","0.56","6.4","2.3","1.1","1","0.2","0.5","8.7","7.4","9.7","5.4","115.7","106.2"
"","Isaiah Jackson","Ind","","F","24.2","38","16.8","15.9","20.6","74","0.689","164","0.585","1","0","0.582","0.615","6.4","5.6","0.8","0.7","0.8","1.1","11.9","7.2","12.8","7.3","119.8","101.6"
"","Alex Caruso","Okc","*","G","32","43","18.5","15.9","13.8","40","0.775","96","0.594","141","0.312","0.519","0.544","6.4","2.7","2","1.4","0.3","0.9","9.1","8.4","11.1","7","110.7","104.1"
